,Non Rules
0,"((POTASSIUM > 0.000) U[0,0] (Mort < 0.000))"
1,"((CALCIUM > 0.000) U[0,0] (Mort < 0.000))"
2,"((AST_GOT > 0.000) U[0,0] (LOS < 0.000))"
3,"((SpO2 = 0.000) U[0,0] (Mort < 0.000))"
4,"((AST_GOT > 0.000) U[0,0] (n_edrk < 0.000))"
5,"((n_edrk > 0.000) U[0,0] (n_edrk < 0.000))"
6,"((AF > 0.000) U[0,0] (LOS < 0.000))"
7,"((death > 0.000) U[0,0] (LOS < 0.000))"
8,"((Sgy = 0.000) U[0,0] (n_edrk < 0.000))"
9,"((CALCIUM > 0.000) U[0,0] (LOS < 0.000))"
10,"((Pulse < 0.000) U[0,0] (n_edrk < 0.000))"
11,"((CALCIUM < 0.000) U[0,0] (n_edrk < 0.000))"
12,"((hr = 0.000) U[0,0] (Mort < 0.000))"
13,"((PARTIAL_THROMBOPLASTIN_TIME = 0.000) U[0,0] (LOS < 0.000))"
14,"((AF = 0.000) U[0,0] (LOS < 0.000))"
15,"((Mort > 0.000) U[0,0] (LOS < 0.000))"
