,Non Rules
0,"F[0,0]((tte = 0.000 & O2_Flow = 0.000))"
1,"F[0,0]((MET = 0.000 & Mort = 0.000))"
2,"F[0,0]((direct = 0.000 & tte = 0.000))"
3,"F[0,0]((SBP = 0.000 & tte = 0.000))"
4,"F[0,0]((CHLORIDE = 0.000 & direct = 0.000))"
5,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 & ALBUMIN = 0.000))"
6,"G[0,0]((LACTIC_ACID = 0.000 | ICU_Pt_Days = 0.000))"
7,"F[0,0]((LOS = 0.000 & PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
8,"F[0,0]((O2_Flow = 0.000 & tte = 0.000))"
9,"F[0,0]((ICU_Pt_Days < 0.000 & Mort = 0.000))"
10,"F[0,0]((tte = 0.000 & y = 0.000))"
11,"F[0,0]((CREATININE = 0.000 & y = 0.000))"
12,"F[0,0]((MET = 0.000 & Pulse = 0.000))"
13,"F[0,0]((CREATININE = 0.000 & tte = 0.000))"
14,"F[0,0]((OXYGEN_SATURATION = 0.000 & direct = 0.000))"
15,"F[0,0]((PLATELET_COUNT = 0.000 & PLATELET_COUNT = 0.000))"
16,"F[0,0]((SBP = 0.000 & O2_Flow = 0.000))"
17,"F[0,0]((O2_Flow = 0.000 & ALBUMIN = 0.000))"
18,"F[0,0]((O2_Flow = 0.000 & CALCIUM = 0.000))"
19,"F[0,0]((tte = 0.000 & ICU_Pt_Days < 0.000))"
20,"F[0,0]((PLATELET_COUNT = 0.000 & ICU_Pt_Days < 0.000))"
