,Non Rules
0,"(G[0,0](TOTAL_PROTEIN > 0.000) -> G[0,0](direct = 0.000))"
1,"(LOS > 0.000 & G[0,0](PCO2 > 0.000))"
2,"(TOTAL_PROTEIN > 0.000 -> G[0,0](PHOSPHORUS < 0.000))"
3,"(G[0,0](LOS < 0.000) -> SBP > 0.000)"
4,"(F[0,0](LOS > 0.000) -> direct != 0.000)"
5,(death = 0.000 | LOS > 0.000)
6,"(F[0,0](LACTIC_ACID != 0.000) & F[0,0](n_evts < 0.000))"
7,"(F[0,0](s8_edrk < 0.000) -> G[0,0](PHOSPHORUS < 0.000))"
8,"(F[0,0](TROPONIN_I != 0.000) -> G[0,0](s24_hr > 0.000))"
9,"(G[0,0](LACTIC_ACID = 0.000) -> SODIUM < 0.000)"
10,"(LOS > 0.000 -> F[0,0](Sgy > 0.000))"
11,"(LOS < 0.000 & G[0,0](ALT_GPT != 0.000))"
12,"(G[0,0](LOS > 0.000) & ICU_Pt_Days > 0.000)"
13,"(F[0,0](s8_edrk < 0.000) -> F[0,0](LOS > 0.000))"
14,"(G[0,0](TOTAL_PROTEIN > 0.000) -> F[0,0](Sgy > 0.000))"
15,"(G[0,0](LOS > 0.000) | F[0,0](AF = 0.000))"
16,"(F[0,0](n_evts < 0.000) | LOS < 0.000)"
17,"((LOS < 0.000) U[0,0] (PCO2 = 0.000))"
18,"(F[0,0](death = 0.000) & G[0,0](LOS = 0.000))"
19,"F[0,0](LOS = 0.000)"
20,"(F[0,0](s8_edrk < 0.000) -> F[0,0](Sgy > 0.000))"
21,"(AF < 0.000 -> F[0,0](lds < 0.000))"
22,"(F[0,0](death = 0.000) & Mort < 0.000)"
23,"(TOTAL_PROTEIN > 0.000 -> F[0,0](Sgy > 0.000))"
24,"(G[0,0](Mort > 0.000) | LOS > 0.000)"
25,"(LOS > 0.000 | G[0,0](s8_hr < 0.000))"
26,"(F[0,0](n_evts < 0.000) | F[0,0](n_evts != 0.000))"
27,"(G[0,0](ALKALINE_PHOSPHATASE > 0.000) & G[0,0](ALT_GPT != 0.000))"
28,"(G[0,0](Mort > 0.000) | LACTIC_ACID = 0.000)"
29,"(G[0,0](LOS = 0.000) | G[0,0](af = 0.000))"
30,"((LOS < 0.000) U[0,0] (Glasgow_Coma_Scale_Total < 0.000))"
31,"(F[0,0](LACTIC_ACID != 0.000) & LOS > 0.000)"
32,"(F[0,0](dfa > 0.000) | G[0,0](s8_hr < 0.000))"
33,"(G[0,0](ALKALINE_PHOSPHATASE > 0.000) & F[0,0](LOS > 0.000))"
34,"(F[0,0](SODIUM > 0.000) -> O2_Flow = 0.000)"
35,"(LOS = 0.000 -> G[0,0](y != 0.000))"
36,"(F[0,0](dfa < 0.000) & Mort < 0.000)"
37,"(G[0,0](edrk < 0.000) -> SODIUM < 0.000)"
38,"(G[0,0](Temp < 0.000) & ICU_Pt_Days > 0.000)"
39,"(G[0,0](Glasgow_Coma_Scale_Total = 0.000) & F[0,0](n_evts < 0.000))"
40,"(G[0,0](Mort > 0.000) | F[0,0](AF = 0.000))"
41,"(G[0,0](GLUCOSE < 0.000) | F[0,0](AF = 0.000))"
42,"(G[0,0](LOS < 0.000) -> G[0,0](LOS > 0.000))"
43,"(G[0,0](Temp < 0.000) & F[0,0](n_evts < 0.000))"
44,"(G[0,0](LOS > 0.000) | G[0,0](s8_edrk != 0.000))"
45,"((s24_hr = 0.000) U[0,0] (s8_hr != 0.000))"
46,"(G[0,0](GLUCOSE < 0.000) | G[0,0](PLATELET_COUNT > 0.000))"
47,"(Temp = 0.000 & F[0,0](WHITE_BLOOD_CELL_COUNT > 0.000))"
48,"(SBP < 0.000 | G[0,0](s8_hr < 0.000))"
49,"(LOS > 0.000 & F[0,0](PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
50,"(F[0,0](LOS > 0.000) & G[0,0](CREATININE < 0.000))"
51,"(G[0,0](LOS > 0.000) | F[0,0](n_evts != 0.000))"
52,"(G[0,0](GLUCOSE < 0.000) | LACTIC_ACID = 0.000)"
53,(n_evts != 0.000 -> direct != 0.000)
54,"(G[0,0](Temp < 0.000) & F[0,0](WHITE_BLOOD_CELL_COUNT != 0.000))"
55,"(F[0,0](OXYGEN_SATURATION > 0.000) & ICU_Pt_Days > 0.000)"
56,(LOS > 0.000 | LACTIC_ACID = 0.000)
57,"(SpO2 < 0.000 & F[0,0](LOS > 0.000))"
58,"(death = 0.000 | G[0,0](s8_hr < 0.000))"
59,"(F[0,0](LOS > 0.000) -> G[0,0](LOS > 0.000))"
60,"(F[0,0](ALT_GPT != 0.000) | G[0,0](PLATELET_COUNT > 0.000))"
61,(LOS = 0.000 -> direct != 0.000)
62,"(G[0,0](LOS = 0.000) | LACTIC_ACID = 0.000)"
63,"(F[0,0](s8_edrk < 0.000) -> G[0,0](LOS > 0.000))"
64,"(G[0,0](TOTAL_PROTEIN > 0.000) -> direct != 0.000)"
65,"(G[0,0](s8_edrk != 0.000) | LACTIC_ACID = 0.000)"
66,"(G[0,0](LOS < 0.000) -> G[0,0](PHOSPHORUS < 0.000))"
67,(n_evts != 0.000 -> O2_Flow = 0.000)
68,"(LOS > 0.000 -> F[0,0](MET != 0.000))"
69,"(Temp = 0.000 & G[0,0](LOS = 0.000))"
70,"(F[0,0](OXYGEN_SATURATION = 0.000) | G[0,0](PLATELET_COUNT > 0.000))"
71,"(LOS < 0.000 & ((PROTIME_INR > 0.000) U[0,0] (af < 0.000)))"
72,"(F[0,0](dfa > 0.000) | PARTIAL_THROMBOPLASTIN_TIME != 0.000)"
73,"(F[0,0](LOS > 0.000) | F[0,0](MAGNESIUM < 0.000))"
74,"((LOS < 0.000) U[0,0] (edrk > 0.000))"
75,"(MET != 0.000 & F[0,0](WHITE_BLOOD_CELL_COUNT != 0.000))"
76,"(F[0,0](dfa < 0.000) & F[0,0](PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
77,"(G[0,0](Glasgow_Coma_Scale_Total = 0.000) & F[0,0](PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
78,(LOS < 0.000 & WHITE_BLOOD_CELL_COUNT != 0.000)
79,"(F[0,0](LOS > 0.000) -> O2_Flow = 0.000)"
80,"(G[0,0](LOS = 0.000) | G[0,0](PLATELET_COUNT > 0.000))"
81,"(LOS > 0.000 -> G[0,0](s24_hr > 0.000))"
82,"(F[0,0](dfa > 0.000) | LOS > 0.000)"
83,"(F[0,0](LACTIC_ACID != 0.000) & F[0,0](LOS > 0.000))"
84,(Temp = 0.000 & Mort < 0.000)
85,"(F[0,0](LOS > 0.000) & WHITE_BLOOD_CELL_COUNT != 0.000)"
86,"(G[0,0](GLUCOSE < 0.000) | F[0,0](MAGNESIUM < 0.000))"
87,"(F[0,0](death = 0.000) & ((PROTIME_INR > 0.000) U[0,0] (af < 0.000)))"
88,ICU_Pt_Days != 0.000
89,"F[0,0](LOS < 0.000)"
90,"(G[0,0](LOS > 0.000) -> O2_Flow = 0.000)"
91,"(G[0,0](lds != 0.000) -> F[0,0](LOS > 0.000))"
92,(Temp = 0.000 & s2_hr = 0.000)
93,"(F[0,0](death = 0.000) & ICU_Pt_Days > 0.000)"
94,"(LOS > 0.000 | G[0,0](af = 0.000))"
95,"(G[0,0](LOS < 0.000) -> SODIUM < 0.000)"
96,LOS != 0.000
97,"(ALT_GPT > 0.000 & G[0,0](n_evts = 0.000))"
98,"(AF < 0.000 -> G[0,0](s24_hr > 0.000))"
99,"(F[0,0](death = 0.000) & G[0,0](CREATININE < 0.000))"
100,"(CALCIUM > 0.000 | G[0,0](af = 0.000))"
101,"(F[0,0](death = 0.000) & G[0,0](n_evts = 0.000))"
102,"(G[0,0](LACTIC_ACID = 0.000) -> G[0,0](y != 0.000))"
103,"(SpO2 < 0.000 & F[0,0](WHITE_BLOOD_CELL_COUNT != 0.000))"
104,"(F[0,0](OXYGEN_SATURATION = 0.000) | G[0,0](LOS > 0.000))"
105,"(F[0,0](LACTIC_ACID != 0.000) & G[0,0](PCO2 > 0.000))"
106,"(F[0,0](dfa < 0.000) & F[0,0](WHITE_BLOOD_CELL_COUNT != 0.000))"
107,"(F[0,0](LOS > 0.000) -> SODIUM < 0.000)"
