,Non Rules
0,"((Temp = 0.000) U[0,0] (Pulse = 0.000))"
1,"((ICU_Pt_Days > 0.000) U[0,0] (death > 0.000))"
2,"((MET = 0.000) U[0,0] (G[0,0](LOS < 0.000)))"
3,"((ICU_Pt_Days = 0.000) U[0,0] (O2_Flow < 0.000))"
4,"((death = 0.000) U[0,0] (MET < 0.000))"
5,"((tte > 0.000) U[0,0] (LOS = 0.000))"
6,"((HEMOGLOBIN = 0.000) U[0,0] (G[0,0](LOS < 0.000)))"
7,"((PARTIAL_THROMBOPLASTIN_TIME = 0.000) U[0,0] (Resp < 0.000))"
8,"((Temp = 0.000) U[0,0] (Resp < 0.000))"
9,"((n_evts > 0.000) U[0,0] (Pulse < 0.000))"
10,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (O2_Flow < 0.000))"
11,"((PARTIAL_THROMBOPLASTIN_TIME = 0.000) U[0,0] (Pulse < 0.000))"
12,"((direct = 0.000) U[0,0] (Pulse = 0.000))"
13,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (n_evts < 0.000))"
14,"((MET = 0.000) U[0,0] (Resp = 0.000))"
15,"((direct = 0.000) U[0,0] (MET = 0.000))"
16,"((MET > 0.000) U[0,0] (G[0,0](LOS < 0.000)))"
17,"((tte < 0.000) U[0,0] (MET = 0.000))"
18,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (Mort > 0.000))"
19,"((ICU_Pt_Days = 0.000) U[0,0] (LOS > 0.000))"
20,"((tte < 0.000) U[0,0] (Mort > 0.000))"
21,"((Resp < 0.000) U[0,0] (O2_Flow < 0.000))"
22,"((HEMOGLOBIN = 0.000) U[0,0] (n_evts < 0.000))"
23,"((LOS > 0.000) U[0,0] (O2_Flow = 0.000))"
24,"((death > 0.000) U[0,0] (Pulse < 0.000))"
25,"((direct > 0.000) U[0,0] (direct > 0.000))"
26,"((Mort = 0.000) U[0,0] (O2_Flow < 0.000))"
27,"((n_evts < 0.000) U[0,0] (MET < 0.000))"
28,"((MET = 0.000) U[0,0] (Resp < 0.000))"
29,"((direct = 0.000) U[0,0] (G[0,0](LOS < 0.000)))"
30,"((tte < 0.000) U[0,0] (LOS = 0.000))"
31,"((y > 0.000) U[0,0] (LOS < 0.000))"
32,"((death = 0.000) U[0,0] (n_evts > 0.000))"
33,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (Glasgow_Coma_Scale_Total < 0.000))"
34,"((ICU_Pt_Days = 0.000) U[0,0] (O2_Flow = 0.000))"
35,"((CREATININE > 0.000) U[0,0] (Mort = 0.000))"
36,"((n_evts < 0.000) U[0,0] (tte < 0.000))"
37,"((CHLORIDE = 0.000) U[0,0] (Resp < 0.000))"
38,"((tte > 0.000) U[0,0] (death > 0.000))"
39,"((MET > 0.000) U[0,0] (O2_Flow = 0.000))"
40,"((tte = 0.000) U[0,0] (MET = 0.000))"
41,"((direct = 0.000) U[0,0] (Mort = 0.000))"
42,"((Temp = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
43,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (G[0,0](y < 0.000)))"
44,"((y > 0.000) U[0,0] (Glasgow_Coma_Scale_Total < 0.000))"
45,"((n_evts > 0.000) U[0,0] (Mort > 0.000))"
46,"((CREATININE = 0.000) U[0,0] (direct > 0.000))"
47,"((LOS = 0.000) U[0,0] (n_evts < 0.000))"
48,"((n_evts = 0.000) U[0,0] (G[0,0](LOS < 0.000)))"
49,"((y = 0.000) U[0,0] (n_evts = 0.000))"
50,"((death > 0.000) U[0,0] (O2_Flow = 0.000))"
