,Non Rules
0,"((y = 0.000) U[0,0] (tte > 0.000))"
1,"((Mort = 0.000) U[0,0] (Mort = 0.000))"
2,"((Mort = 0.000) U[0,0] (Mort < 0.000))"
3,"((direct = 0.000) U[0,0] (direct = 0.000))"
4,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
5,"((ICU_Pt_Days = 0.000) U[0,0] (Resp < 0.000))"
6,"((n_evts < 0.000) U[0,0] (ALKALINE_PHOSPHATASE > 0.000))"
7,"((n_evts = 0.000) U[0,0] (death = 0.000))"
8,"((n_evts > 0.000) U[0,0] (O2_Flow = 0.000))"
9,"((direct = 0.000) U[0,0] (MET = 0.000))"
10,"((MET = 0.000) U[0,0] (SBP > 0.000))"
11,"((n_evts = 0.000) U[0,0] (MET > 0.000))"
12,"((LOS > 0.000) U[0,0] (SBP > 0.000))"
13,"((MET > 0.000) U[0,0] (y > 0.000))"
14,"((CREATININE = 0.000) U[0,0] (y = 0.000))"
15,"((Mort = 0.000) U[0,0] (LOS = 0.000))"
16,"((y = 0.000) U[0,0] (MET > 0.000))"
17,"((tte = 0.000) U[0,0] (n_evts < 0.000))"
18,"((n_evts > 0.000) U[0,0] (y = 0.000))"
19,"((y > 0.000) U[0,0] (MET > 0.000))"
20,"((CREATININE = 0.000) U[0,0] (n_evts = 0.000))"
21,"((y > 0.000) U[0,0] (Mort > 0.000))"
22,"((ICU_Pt_Days = 0.000) U[0,0] (Mort > 0.000))"
23,"((Mort > 0.000) U[0,0] (n_evts > 0.000))"
24,"((n_evts = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
25,"((CREATININE = 0.000) U[0,0] (direct > 0.000))"
