,Non Rules
0,"(af < 0.000 & G[0,0](Resp != 0.000))"
1,(CALCIUM < 0.000 | LOS > 0.000)
2,"(LOS = 0.000 -> F[0,0](CREATININE > 0.000))"
3,"(F[0,0](SpO2 < 0.000) & F[0,0](LOS > 0.000))"
4,"(G[0,0](CO2 = 0.000) & G[0,0](ALKALINE_PHOSPHATASE < 0.000))"
5,"(G[0,0](PARTIAL_THROMBOPLASTIN_TIME != 0.000) -> SBP != 0.000)"
6,"(F[0,0](LOS < 0.000) | F[0,0](Pulse = 0.000))"
7,"((s8_hr != 0.000) U[0,0] (CALCIUM < 0.000))"
8,"(F[0,0](LOS > 0.000) -> LOS > 0.000)"
9,"(CALCIUM < 0.000 | F[0,0](Mort != 0.000))"
10,"(G[0,0](LOS < 0.000) | ICU_Pt_Days > 0.000)"
11,"(s2_edrk > 0.000 & F[0,0](LOS > 0.000))"
12,"(G[0,0](LOS > 0.000) & G[0,0](LOS > 0.000))"
13,"(tte = 0.000 | G[0,0](PLATELET_COUNT < 0.000))"
14,"(LOS = 0.000 & G[0,0](Resp != 0.000))"
15,"(G[0,0](CO2 = 0.000) & F[0,0](LOS > 0.000))"
16,"((s8_hr != 0.000) U[0,0] (af != 0.000))"
17,"(G[0,0](LOS > 0.000) | G[0,0](CHLORIDE = 0.000))"
18,"(F[0,0](LOS < 0.000) | s8_edrk = 0.000)"
19,(LOS = 0.000 -> MAGNESIUM < 0.000)
20,"(F[0,0](n_edrk > 0.000) | Resp != 0.000)"
21,"(F[0,0](Sgy != 0.000) -> af > 0.000)"
22,"(F[0,0](LOS > 0.000) & G[0,0](AST_GOT = 0.000))"
23,(LOS > 0.000 -> af > 0.000)
24,"(F[0,0](Sgy > 0.000) -> MAGNESIUM < 0.000)"
25,"(G[0,0](LOS > 0.000) | F[0,0](Mort != 0.000))"
26,"(G[0,0](LOS > 0.000) & F[0,0](n_evts > 0.000))"
27,"(F[0,0](dfa > 0.000) & F[0,0](dfa < 0.000))"
28,"(F[0,0](n_edrk > 0.000) | G[0,0](PLATELET_COUNT != 0.000))"
29,(LOS = 0.000 & af > 0.000)
30,"(F[0,0](dfa != 0.000) | s8_edrk = 0.000)"
31,(TROPONIN_I != 0.000 | ICU_Pt_Days > 0.000)
32,(CREATININE > 0.000 -> MAGNESIUM < 0.000)
33,"F[0,0](LOS = 0.000)"
34,"(F[0,0](BLOOD_UREA_NITROGEN < 0.000) -> F[0,0](CREATININE > 0.000))"
35,(CREATININE = 0.000 & AF = 0.000)
36,"(F[0,0](LOS > 0.000) -> F[0,0](CREATININE > 0.000))"
37,(LOS > 0.000 -> MAGNESIUM < 0.000)
38,"(F[0,0](s24_edrk != 0.000) & G[0,0](AST_GOT = 0.000))"
39,"F[0,0](s8_edrk = 0.000)"
40,"(TOTAL_BILIRUBIN > 0.000 | G[0,0](LOS > 0.000))"
41,"(CREATININE = 0.000 & F[0,0](LOS > 0.000))"
42,"(CALCIUM < 0.000 | G[0,0](AST_GOT > 0.000))"
43,"(G[0,0](LOS > 0.000) | G[0,0](AST_GOT > 0.000))"
44,"(s2_edrk > 0.000 & F[0,0](SODIUM = 0.000))"
45,(LOS > 0.000 & OXYGEN_SATURATION != 0.000)
