,Non Rules
0,"((Resp > 0.000) U[0,0] (n_evts > 0.000))"
1,"((PARTIAL_THROMBOPLASTIN_TIME < 0.000) U[0,0] (n_evts < 0.000))"
2,"((CALCIUM = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
3,"((LOS = 0.000) U[0,0] (tte = 0.000))"
4,"((LOS > 0.000) U[0,0] (Mort = 0.000))"
5,"((CALCIUM = 0.000) U[0,0] (tte > 0.000))"
6,"((tte = 0.000) U[0,0] (tte = 0.000))"
7,"((PARTIAL_THROMBOPLASTIN_TIME < 0.000) U[0,0] (MET > 0.000))"
8,"((O2_Flow = 0.000) U[0,0] (death = 0.000))"
9,"((MET = 0.000) U[0,0] (n_evts < 0.000))"
10,"((LOS > 0.000) U[0,0] (tte < 0.000))"
11,"((ICU_Pt_Days < 0.000) U[0,0] (MET = 0.000))"
12,"((SpO2 = 0.000) U[0,0] (MET = 0.000))"
13,"((LOS > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
14,"((SpO2 = 0.000) U[0,0] (tte = 0.000))"
15,"((tte = 0.000) U[0,0] (tte < 0.000))"
16,"((death = 0.000) U[0,0] (SBP > 0.000))"
17,"((LOS > 0.000) U[0,0] (MET > 0.000))"
18,"((Resp > 0.000) U[0,0] (Mort = 0.000))"
19,"((LOS = 0.000) U[0,0] (s24_edrk = 0.000))"
20,"((ICU_Pt_Days > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
21,"((ICU_Pt_Days < 0.000) U[0,0] (tte < 0.000))"
22,"((LOS > 0.000) U[0,0] (tte = 0.000))"
23,"((CALCIUM = 0.000) U[0,0] (direct > 0.000))"
24,"((ICU_Pt_Days > 0.000) U[0,0] (y > 0.000))"
25,"((death = 0.000) U[0,0] (y > 0.000))"
26,"((O2_Flow = 0.000) U[0,0] (MET = 0.000))"
27,"((Mort < 0.000) U[0,0] (LOS = 0.000))"
28,"((LOS = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
29,"((y > 0.000) U[0,0] (MET > 0.000))"
30,"((LOS = 0.000) U[0,0] (LOS = 0.000))"
31,"((CALCIUM = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
32,"((ICU_Pt_Days < 0.000) U[0,0] (tte > 0.000))"
33,"((y > 0.000) U[0,0] (y > 0.000))"
