,Non Rules
0,"((LOS = 0.000) U[0,0] (s8_hr < 0.000))"
1,"(MAGNESIUM > 0.000 -> F[0,0](LOS > 0.000))"
2,"(MAGNESIUM < 0.000 & G[0,0](TOTAL_PROTEIN < 0.000))"
3,"(Sgy = 0.000 -> F[0,0](ALT_GPT < 0.000))"
4,"((GLUCOSE > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
5,(Resp < 0.000 | Resp < 0.000)
6,"(F[0,0](OXYGEN_SATURATION > 0.000) -> G[0,0](PARTIAL_THROMBOPLASTIN_TIME < 0.000))"
7,"(F[0,0](OXYGEN_SATURATION > 0.000) -> MAGNESIUM > 0.000)"
8,"(F[0,0](SBP < 0.000) & G[0,0](ICU_Pt_Days != 0.000))"
9,"G[0,0](y != 0.000)"
10,"(PCO2 > 0.000 & F[0,0](ALBUMIN > 0.000))"
11,"(G[0,0](MET = 0.000) | AF = 0.000)"
12,"((CREATININE != 0.000) U[0,0] (LOS > 0.000))"
13,"F[0,0](tte = 0.000)"
14,"(F[0,0](SBP < 0.000) -> F[0,0](LOS > 0.000))"
15,"G[0,0](tte = 0.000)"
16,(MAGNESIUM > 0.000 -> TOTAL_PROTEIN = 0.000)
17,"F[0,0](LOS = 0.000)"
18,"((LOS > 0.000) U[0,0] (LOS < 0.000))"
19,"(n_evts = 0.000 & F[0,0](Resp = 0.000))"
20,"(n_evts = 0.000 & G[0,0](ICU_Pt_Days != 0.000))"
21,"((LOS > 0.000) U[0,0] (LOS != 0.000))"
22,"(F[0,0](tte = 0.000) & G[0,0](TOTAL_PROTEIN < 0.000))"
23,"(F[0,0](BLOOD_UREA_NITROGEN > 0.000) & G[0,0](TOTAL_PROTEIN < 0.000))"
24,"G[0,0](tte != 0.000)"
25,"F[0,0](y = 0.000)"
26,"(G[0,0](MET < 0.000) | tte > 0.000)"
27,"(F[0,0](BLOOD_UREA_NITROGEN = 0.000) | tte > 0.000)"
28,(PCO2 > 0.000 & direct = 0.000)
