,Non Rules
0,"((LOS > 0.000) U[0,0] (Pulse = 0.000))"
1,"((CALCIUM > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
2,"((Resp < 0.000) U[0,0] (PROTIME_INR = 0.000))"
3,"((death > 0.000) U[0,0] (MET = 0.000))"
4,"((Mort = 0.000) U[0,0] (Resp = 0.000))"
5,"((CALCIUM > 0.000) U[0,0] (s24_hr = 0.000))"
6,"((ICU_Pt_Days > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
7,"((CHLORIDE = 0.000) U[0,0] (s24_hr = 0.000))"
8,"((tte = 0.000) U[0,0] (LOS > 0.000))"
9,"((CALCIUM = 0.000) U[0,0] (O2_Flow = 0.000))"
10,"((SpO2 = 0.000) U[0,0] (hr = 0.000))"
11,"((Mort = 0.000) U[0,0] (Mort = 0.000))"
12,"((MET = 0.000) U[0,0] (Pulse = 0.000))"
13,"((n_evts > 0.000) U[0,0] (Pulse = 0.000))"
14,"((n_evts > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
15,"((MET > 0.000) U[0,0] (lds = 0.000))"
16,"((direct < 0.000) U[0,0] (death = 0.000))"
17,"((n_evts > 0.000) U[0,0] (ALKALINE_PHOSPHATASE > 0.000))"
18,"((Sgy < 0.000) U[0,0] (HEMOGLOBIN > 0.000))"
19,"((ICU_Pt_Days = 0.000) U[0,0] (s24_hr = 0.000))"
20,"((CO2 = 0.000) U[0,0] (Pulse = 0.000))"
21,"((CO2 = 0.000) U[0,0] (BLOOD_UREA_NITROGEN > 0.000))"
22,"((direct = 0.000) U[0,0] (PROTIME_INR = 0.000))"
23,"((SpO2 = 0.000) U[0,0] (n_evts > 0.000))"
24,"((CALCIUM = 0.000) U[0,0] (n_evts = 0.000))"
25,"((n_evts > 0.000) U[0,0] (n_evts = 0.000))"
26,"((Temp = 0.000) U[0,0] (PROTIME_INR = 0.000))"
27,"((SpO2 = 0.000) U[0,0] (n_evts = 0.000))"
28,"((direct = 0.000) U[0,0] (MET > 0.000))"
29,"((death > 0.000) U[0,0] (AF = 0.000))"
30,"((CO2 = 0.000) U[0,0] (PHOSPHORUS = 0.000))"
31,"((Mort > 0.000) U[0,0] (BLOOD_UREA_NITROGEN > 0.000))"
32,"((ICU_Pt_Days > 0.000) U[0,0] (Mort > 0.000))"
33,"((af = 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
34,"((CREATININE = 0.000) U[0,0] (y > 0.000))"
35,"((CALCIUM > 0.000) U[0,0] (Resp = 0.000))"
36,"((Temp = 0.000) U[0,0] (s24_hr = 0.000))"
37,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts > 0.000))"
38,"((Temp = 0.000) U[0,0] (s2_hr = 0.000))"
39,"((CALCIUM = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
40,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (MAGNESIUM > 0.000))"
41,"((Mort > 0.000) U[0,0] (MET > 0.000))"
42,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Temp = 0.000))"
43,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
44,"((Mort = 0.000) U[0,0] (s24_hr = 0.000))"
45,"((tte = 0.000) U[0,0] (MET > 0.000))"
46,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (CALCIUM = 0.000))"
47,"((ALT_GPT > 0.000) U[0,0] (MAGNESIUM > 0.000))"
48,"((MET = 0.000) U[0,0] (MAGNESIUM > 0.000))"
