,Non Rules
0,"(af > 0.000 & F[0,0](edrk != 0.000))"
1,"G[0,0](y != 0.000)"
2,"((ICU_Pt_Days != 0.000) U[0,0] (edrk < 0.000))"
3,"F[0,0](tte = 0.000)"
4,"(F[0,0](TOTAL_PROTEIN > 0.000) | G[0,0](srr > 0.000))"
5,"G[0,0](tte = 0.000)"
6,"F[0,0](LOS = 0.000)"
7,"((LOS > 0.000) U[0,0] (LOS < 0.000))"
8,"((ALBUMIN > 0.000) U[0,0] (LOS > 0.000))"
9,"((LOS != 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
10,"((LOS > 0.000) U[0,0] (LOS != 0.000))"
11,"(G[0,0](direct > 0.000) & F[0,0](edrk != 0.000))"
12,"G[0,0](tte != 0.000)"
13,"F[0,0](y = 0.000)"
14,"((ICU_Pt_Days > 0.000) U[0,0] (PHOSPHORUS = 0.000))"
15,"((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))"
16,"((LOS != 0.000) U[0,0] (LOS != 0.000))"
17,"F[0,0](n_evts != 0.000)"
18,"((CREATININE = 0.000) U[0,0] (PHOSPHORUS = 0.000))"
19,"F[0,0](y > 0.000)"
20,ICU_Pt_Days != 0.000
21,"F[0,0](LOS < 0.000)"
22,Mort != 0.000
23,LOS != 0.000
24,"((ICU_Pt_Days < 0.000) U[0,0] (POTASSIUM > 0.000))"
25,"F[0,0](s24_hr > 0.000)"
26,"((CREATININE = 0.000) U[0,0] (TOTAL_BILIRUBIN != 0.000))"
27,"(G[0,0](Sgy > 0.000) | G[0,0](ICU_Pt_Days != 0.000))"
28,"F[0,0](ICU_Pt_Days != 0.000)"
29,"G[0,0](Mort < 0.000)"
30,"F[0,0](n_evts = 0.000)"
31,"((ALBUMIN > 0.000) U[0,0] (LOS < 0.000))"
32,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
33,"((ICU_Pt_Days > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
34,"(af > 0.000 & G[0,0](tte > 0.000))"
35,"((LOS < 0.000) U[0,0] (LOS != 0.000))"
36,"((ICU_Pt_Days != 0.000) U[0,0] (PHOSPHORUS = 0.000))"
37,"F[0,0](BLOOD_UREA_NITROGEN != 0.000)"
38,"((ALBUMIN > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
39,"F[0,0](ICU_Pt_Days = 0.000)"
40,"F[0,0](Mort = 0.000)"
41,"G[0,0](CALCIUM > 0.000)"
42,"((ALBUMIN > 0.000) U[0,0] (PHOSPHORUS = 0.000))"
