,Non Rules
0,"((direct = 0.000) U[0,0] (SpO2 > 0.000))"
1,"((SODIUM = 0.000) U[0,0] (Resp > 0.000))"
2,"((death > 0.000) U[0,0] (death = 0.000))"
3,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
4,"((Resp = 0.000) U[0,0] (Mort > 0.000))"
5,"((y = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
6,"((O2_Flow < 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
7,"((direct > 0.000) U[0,0] (O2_Flow < 0.000))"
8,"((tte > 0.000) U[0,0] (LOS = 0.000))"
9,"((MET > 0.000) U[0,0] (Pulse = 0.000))"
10,"((SODIUM = 0.000) U[0,0] (n_evts = 0.000))"
11,"((MET > 0.000) U[0,0] (MET < 0.000))"
12,"((SODIUM = 0.000) U[0,0] (direct = 0.000))"
13,"((Resp = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
14,"((death < 0.000) U[0,0] (n_evts = 0.000))"
15,"((SpO2 > 0.000) U[0,0] (LOS > 0.000))"
16,"((tte > 0.000) U[0,0] (CALCIUM = 0.000))"
17,"((death < 0.000) U[0,0] (CHLORIDE = 0.000))"
18,"((O2_Flow < 0.000) U[0,0] (MET > 0.000))"
19,"((tte = 0.000) U[0,0] (MET < 0.000))"
20,"((direct > 0.000) U[0,0] (tte < 0.000))"
21,"((LOS = 0.000) U[0,0] (O2_Flow < 0.000))"
22,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (y > 0.000))"
23,"((CALCIUM = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
24,"((Mort = 0.000) U[0,0] (CO2 > 0.000))"
25,"((direct > 0.000) U[0,0] (death < 0.000))"
26,"((death > 0.000) U[0,0] (MET > 0.000))"
27,"((death > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
28,"((death < 0.000) U[0,0] (direct > 0.000))"
29,"((MET > 0.000) U[0,0] (Temp > 0.000))"
30,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (tte = 0.000))"
31,"((tte < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
32,"((LOS = 0.000) U[0,0] (death < 0.000))"
33,"((death > 0.000) U[0,0] (MET < 0.000))"
34,"((Mort > 0.000) U[0,0] (Resp > 0.000))"
35,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (tte < 0.000))"
36,"((ICU_Pt_Days > 0.000) U[0,0] (O2_Flow < 0.000))"
37,"((death < 0.000) U[0,0] (Mort = 0.000))"
38,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
39,"((GLUCOSE = 0.000) U[0,0] (Resp > 0.000))"
40,"((O2_Flow = 0.000) U[0,0] (death > 0.000))"
41,"((death > 0.000) U[0,0] (Temp > 0.000))"
42,"((Sgy = 0.000) U[0,0] (CHLORIDE = 0.000))"
43,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (O2_Flow > 0.000))"
44,"((ICU_Pt_Days > 0.000) U[0,0] (tte = 0.000))"
45,"((Pulse = 0.000) U[0,0] (n_evts = 0.000))"
46,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (death > 0.000))"
47,"((Mort > 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
48,"((ICU_Pt_Days = 0.000) U[0,0] (CO2 > 0.000))"
