,Non Rules
0,"((MET = 0.000) U[0,0] (MET = 0.000))"
1,"((LOS = 0.000) U[0,0] (Mort > 0.000))"
2,"((SpO2 = 0.000) U[0,0] (Glasgow_Coma_Scale_Total > 0.000))"
3,"((Mort < 0.000) U[0,0] (direct > 0.000))"
4,"((Mort < 0.000) U[0,0] (Temp = 0.000))"
5,"G[0,0]((LOS = 0.000 -> direct < 0.000))"
6,"((Mort = 0.000) U[0,0] (O2_Flow = 0.000))"
7,"((O2_Flow = 0.000) U[0,0] (O2_Flow = 0.000))"
8,"((SpO2 = 0.000) U[0,0] (LOS = 0.000))"
9,"((y = 0.000) U[0,0] (y > 0.000))"
10,"((LOS = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
11,"((ICU_Pt_Days > 0.000) U[0,0] (tte = 0.000))"
12,"((n_evts = 0.000) U[0,0] (direct > 0.000))"
