,Non Rules
0,"((LOS = 0.000) U[0,0] (ALBUMIN = 0.000))"
1,"((Resp > 0.000) U[0,0] (n_evts > 0.000))"
2,"((Resp > 0.000) U[0,0] (tte < 0.000))"
3,"((n_evts > 0.000) U[0,0] (MET > 0.000))"
4,"((MET > 0.000) U[0,0] (tte < 0.000))"
5,"((tte = 0.000) U[0,0] (tte = 0.000))"
6,"((O2_Flow = 0.000) U[0,0] (Pulse < 0.000))"
7,"((Pulse = 0.000) U[0,0] (GLUCOSE > 0.000))"
8,"((Resp > 0.000) U[0,0] (n_evts = 0.000))"
9,"((LOS = 0.000) U[0,0] (ALKALINE_PHOSPHATASE = 0.000))"
10,"((n_evts = 0.000) U[0,0] (MET > 0.000))"
11,"((ICU_Pt_Days > 0.000) U[0,0] (death = 0.000))"
12,"((MET > 0.000) U[0,0] (SODIUM = 0.000))"
13,"((CHLORIDE > 0.000) U[0,0] (death > 0.000))"
14,"((Mort = 0.000) U[0,0] (CHLORIDE > 0.000))"
15,"((LOS > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
16,"((HEMOGLOBIN = 0.000) U[0,0] (death > 0.000))"
17,"((CO2 = 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
18,"((n_evts = 0.000) U[0,0] (Sgy < 0.000))"
19,"((Mort = 0.000) U[0,0] (Mort = 0.000))"
20,"((CREATININE = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
21,"((CREATININE = 0.000) U[0,0] (GLUCOSE > 0.000))"
22,"((ICU_Pt_Days = 0.000) U[0,0] (s24_hr = 0.000))"
23,"((MET > 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT = 0.000))"
24,"((AST_GOT > 0.000) U[0,0] (hr = 0.000))"
25,"((CHLORIDE > 0.000) U[0,0] (Pulse < 0.000))"
26,"((CO2 = 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
27,"((death > 0.000) U[0,0] (direct = 0.000))"
28,"((LOS = 0.000) U[0,0] (MET > 0.000))"
29,"((death > 0.000) U[0,0] (CHLORIDE > 0.000))"
30,"((CO2 = 0.000) U[0,0] (CALCIUM = 0.000))"
31,"((CO2 = 0.000) U[0,0] (CHLORIDE = 0.000))"
32,"((SBP = 0.000) U[0,0] (CREATININE > 0.000))"
33,"((direct > 0.000) U[0,0] (death > 0.000))"
34,"((death = 0.000) U[0,0] (O2_Flow < 0.000))"
35,"((n_evts = 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
36,"((SBP = 0.000) U[0,0] (dfa = 0.000))"
37,"((AST_GOT = 0.000) U[0,0] (ALBUMIN = 0.000))"
38,"((AST_GOT > 0.000) U[0,0] (Pulse = 0.000))"
39,"((direct > 0.000) U[0,0] (Mort > 0.000))"
40,"((CO2 = 0.000) U[0,0] (hr = 0.000))"
41,"((Resp > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
42,"((tte = 0.000) U[0,0] (LOS = 0.000))"
43,"((AST_GOT > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
44,"((AST_GOT = 0.000) U[0,0] (Pulse = 0.000))"
45,"((Mort = 0.000) U[0,0] (SpO2 = 0.000))"
46,"((y > 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
47,"((AST_GOT > 0.000) U[0,0] (direct = 0.000))"
48,"((CREATININE = 0.000) U[0,0] (Pulse = 0.000))"
49,"((AST_GOT > 0.000) U[0,0] (tte < 0.000))"
50,"((Mort = 0.000) U[0,0] (O2_Flow < 0.000))"
51,"((direct = 0.000) U[0,0] (O2_Flow < 0.000))"
52,"((ICU_Pt_Days = 0.000) U[0,0] (dfa = 0.000))"
53,"((n_evts = 0.000) U[0,0] (O2_Flow < 0.000))"
54,"((CHLORIDE > 0.000) U[0,0] (dfa = 0.000))"
55,"((direct = 0.000) U[0,0] (Pulse < 0.000))"
56,"((CO2 = 0.000) U[0,0] (LACTIC_ACID = 0.000))"
57,"((direct > 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
58,"((LOS > 0.000) U[0,0] (CALCIUM = 0.000))"
