,Non Rules
0,"((ICU_Pt_Days > 0.000) U[0,0] (y = 0.000))"
1,"((death > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
2,"((y > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
3,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts = 0.000))"
4,"((ICU_Pt_Days > 0.000) U[0,0] (MET > 0.000))"
5,"((Mort > 0.000) U[0,0] (Mort < 0.000))"
6,"((n_evts > 0.000) U[0,0] (direct > 0.000))"
7,"G[0,0]((LOS > 0.000 | GLUCOSE < 0.000))"
8,"((n_evts = 0.000) U[0,0] (n_evts > 0.000))"
9,"((tte > 0.000) U[0,0] (MET > 0.000))"
10,"((n_evts > 0.000) U[0,0] (s24_hr < 0.000))"
11,"((y = 0.000) U[0,0] (y > 0.000))"
12,"((y > 0.000) U[0,0] (death = 0.000))"
13,"((n_evts = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
14,"((tte = 0.000) U[0,0] (LOS = 0.000))"
15,"((death > 0.000) U[0,0] (O2_Flow = 0.000))"
