,Non Rules
0,"((Mort = 0.000) U[0,0] (Resp > 0.000))"
1,"((Mort = 0.000) U[0,0] (Mort = 0.000))"
2,"((MET = 0.000) U[0,0] (Pulse = 0.000))"
3,"((SBP > 0.000) U[0,0] (Sgy = 0.000))"
4,"((Mort > 0.000) U[0,0] (direct > 0.000))"
5,"((ICU_Pt_Days > 0.000) U[0,0] (O2_Flow = 0.000))"
6,"((Temp = 0.000) U[0,0] (Resp > 0.000))"
7,"((direct > 0.000) U[0,0] (tte = 0.000))"
8,"((death = 0.000) U[0,0] (death < 0.000))"
9,"((Sgy = 0.000) U[0,0] (Mort > 0.000))"
10,"((Sgy = 0.000) U[0,0] (death > 0.000))"
11,"G[0,0]((LOS > 0.000 & LOS > 0.000))"
12,"((CHLORIDE = 0.000) U[0,0] (Pulse = 0.000))"
13,"((death < 0.000) U[0,0] (Resp = 0.000))"
14,"G[0,0]((LOS > 0.000 -> LOS = 0.000))"
15,"((CHLORIDE = 0.000) U[0,0] (Sgy > 0.000))"
16,"((LOS = 0.000) U[0,0] (Sgy > 0.000))"
17,"((Sgy = 0.000) U[0,0] (tte > 0.000))"
18,"G[0,0]((LOS < 0.000 & LOS = 0.000))"
19,"((MET = 0.000) U[0,0] (Pulse > 0.000))"
20,"((O2_Flow = 0.000) U[0,0] (Mort < 0.000))"
21,"((ICU_Pt_Days = 0.000) U[0,0] (Resp > 0.000))"
22,"((ICU_Pt_Days > 0.000) U[0,0] (y > 0.000))"
23,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (Resp = 0.000))"
24,"((Mort = 0.000) U[0,0] (Temp = 0.000))"
25,"((Pulse = 0.000) U[0,0] (tte = 0.000))"
26,"((tte < 0.000) U[0,0] (Pulse = 0.000))"
27,"((CALCIUM = 0.000) U[0,0] (death < 0.000))"
28,"((death > 0.000) U[0,0] (af = 0.000))"
29,"((CHLORIDE = 0.000) U[0,0] (Resp > 0.000))"
