,LDP Rule,Client Rule,LDP Count,Client Count
0,"G[0,0]((ICU_Pt_Days = 0.000 | n_evts > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | n_evts > 0.000))",0.364,0.01
1,"G[0,0]((Mort = 0.000 | direct = 0.000))","G[0,0]((direct < 0.000 | SODIUM < 0.000))",0.443,0.03
2,"G[0,0]((s8_hr < 0.000 | n_evts < 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | n_evts < 0.000))",0.443,0.02
3,"G[0,0]((n_evts > 0.000 | death = 0.000))","G[0,0]((death > 0.000 | n_evts < 0.000))",0.261,0.01
4,"G[0,0]((tte = 0.000 | MET < 0.000))","G[0,0]((MET < 0.000 | tte > 0.000))",0.227,0.02
5,"G[0,0]((Mort > 0.000 | n_evts > 0.000))","G[0,0]((Glasgow_Coma_Scale_Total > 0.000 | n_evts > 0.000))",0.214,0.02
6,"G[0,0]((death = 0.000 | Mort > 0.000))","G[0,0]((death < 0.000 | Pulse > 0.000))",0.261,0.02
7,"G[0,0]((tte = 0.000 | LOS = 0.000))","G[0,0]((af > 0.000 | LOS < 0.000))",0.33,0.02
8,"G[0,0]((LOS < 0.000 | ALBUMIN > 0.000))","G[0,0]((LOS < 0.000 | O2_Flow > 0.000))",0.33,0.01
9,"G[0,0]((n_evts = 0.000 | Mort = 0.000))","G[0,0]((Mort < 0.000 | n_evts < 0.000))",0.443,0.01
10,"G[0,0]((n_evts > 0.000 | LOS = 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.33,0.02
11,"G[0,0]((Mort < 0.000 | n_evts = 0.000))","G[0,0]((Mort < 0.000 | n_evts < 0.000))",0.443,0.01
12,"G[0,0]((tte < 0.000 | LOS > 0.000))","G[0,0]((LOS < 0.000 | tte > 0.000))",0.333,0.01
13,"G[0,0]((LOS < 0.000 | y = 0.000))","G[0,0]((MET > 0.000 | y < 0.000))",0.375,0.03
14,"G[0,0]((n_evts < 0.000 | tte = 0.000))","G[0,0]((n_evts < 0.000 | tte < 0.000))",0.443,0.01
15,"G[0,0]((y = 0.000 | ALBUMIN > 0.000))","G[0,0]((direct > 0.000 | y < 0.000))",0.375,0.01
16,"G[0,0]((n_evts = 0.000 | direct < 0.000))","G[0,0]((direct < 0.000 | n_evts < 0.000))",0.443,0.01
17,"G[0,0]((Mort > 0.000 | n_evts < 0.000))","G[0,0]((Mort > 0.000 | n_evts < 0.000))",0.443,0.02
18,"G[0,0]((LOS = 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.33,0.02
19,"G[0,0]((tte = 0.000 | direct < 0.000))","G[0,0]((direct < 0.000 | tte < 0.000))",0.443,0.01
20,"G[0,0]((LOS > 0.000 | ALBUMIN > 0.000))","G[0,0]((LOS > 0.000 | Pulse > 0.000))",0.333,0.01
21,"G[0,0]((LOS > 0.000 | n_evts > 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.333,0.02
22,"G[0,0]((GLUCOSE > 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((cosen > 0.000 | ICU_Pt_Days > 0.000))",0.262,0.01
23,"G[0,0]((LOS < 0.000 | Mort < 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.341,0.02
24,"G[0,0]((y = 0.000 | WHITE_BLOOD_CELL_COUNT = 0.000))","G[0,0]((WHITE_BLOOD_CELL_COUNT < 0.000 | y < 0.000))",0.375,0.01
25,"G[0,0]((death < 0.000 | death < 0.000))","G[0,0]((death < 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.261,0.01
26,"G[0,0]((n_evts = 0.000 | death = 0.000))","G[0,0]((death < 0.000 | n_evts < 0.000))",0.443,0.01
27,"F[0,0]((death > 0.000 & direct = 0.000))","F[0,0]((death > 0.000 & y = 0.000))",0.323,0.02
28,"G[0,0]((n_evts = 0.000 | Mort < 0.000))","G[0,0]((Mort < 0.000 | n_evts < 0.000))",0.443,0.01
29,"G[0,0]((death = 0.000 | MET = 0.000))","G[0,0]((death < 0.000 | MET < 0.000))",0.261,0.01
30,"G[0,0]((y = 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((WHITE_BLOOD_CELL_COUNT < 0.000 | y < 0.000))",0.375,0.01
31,"G[0,0]((direct < 0.000 | LOS = 0.000))","G[0,0]((direct < 0.000 | LOS < 0.000))",0.443,0.02
32,"G[0,0]((MET < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((edrk < 0.000 | MET < 0.000))",0.227,0.02
