,LDP Rule,Client Rule,LDP Count,Client Count
0,"((HEMOGLOBIN > 0.000) U[0,0] (Sgy = 0.000))","((Sgy < 0.000) U[0,0] (y = 0.000))",0.26,0.04
1,"((BLOOD_UREA_NITROGEN > 0.000) U[0,0] (n_evts < 0.000))","((n_evts < 0.000) U[0,0] (y > 0.000))",0.2,0.05
2,"((SpO2 = 0.000) U[0,0] (Temp > 0.000))","((Temp > 0.000) U[0,0] (y > 0.000))",0.25,0.03
3,"((Mort = 0.000) U[0,0] (LACTIC_ACID > 0.000))","((LACTIC_ACID > 0.000) U[0,0] (y = 0.000))",0.25,0.04
4,"((SBP = 0.000) U[0,0] (tte > 0.000))","((SBP < 0.000) U[0,0] (y > 0.000))",0.18,0.04
5,"((y > 0.000) U[0,0] (ICU_Pt_Days > 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (y > 0.000))",0.91,0.04
6,"((ICU_Pt_Days = 0.000) U[0,0] (Sgy > 0.000))","((Sgy > 0.000) U[0,0] (y = 0.000))",0.28,0.08
7,"((n_evts = 0.000) U[0,0] (LACTIC_ACID > 0.000))","((n_evts < 0.000) U[0,0] (y > 0.000))",0.2,0.05
8,"((HEMOGLOBIN > 0.000) U[0,0] (ICU_Pt_Days > 0.000))","((HEMOGLOBIN > 0.000) U[0,0] (ICU_Pt_Days > 0.000))",0.66,0.04
9,"((direct = 0.000) U[0,0] (Resp > 0.000))","((Resp > 0.000) U[0,0] (y = 0.000))",0.21,0.05
10,"((tte < 0.000) U[0,0] (LOS < 0.000))","((LOS < 0.000) U[0,0] (tte < 0.000))",0.75,0.02
11,"((CHLORIDE > 0.000) U[0,0] (ICU_Pt_Days > 0.000))","((CHLORIDE > 0.000) U[0,0] (y > 0.000))",0.66,0.05
12,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (tte > 0.000))","((tte > 0.000) U[0,0] (y > 0.000))",0.18,0.03
13,"((MET = 0.000) U[0,0] (CHLORIDE = 0.000))","((MET < 0.000) U[0,0] (y = 0.000))",0.26,0.05
14,"((n_evts < 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))","((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (MET > 0.000))",0.58,0.05
15,"((LOS > 0.000) U[0,0] (ICU_Pt_Days > 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))",0.66,0.02
16,"((ALT_GPT = 0.000) U[0,0] (death = 0.000))","((MET > 0.000) U[0,0] (death = 0.000))",0.56,1.0
17,"((MAGNESIUM > 0.000) U[0,0] (Resp = 0.000))","((MAGNESIUM > 0.000) U[0,0] (y > 0.000))",0.19,0.05
18,"((SBP = 0.000) U[0,0] (AST_GOT > 0.000))","((AST_GOT > 0.000) U[0,0] (y = 0.000))",0.18,0.05
19,"((y < 0.000) U[0,0] (ALT_GPT > 0.000))","((ALT_GPT < 0.000) U[0,0] (y = 0.000))",0.53,0.04
20,"((Sgy = 0.000) U[0,0] (y < 0.000))","((Sgy < 0.000) U[0,0] (y = 0.000))",0.53,0.04
21,"((SpO2 = 0.000) U[0,0] (Sgy < 0.000))","((Sgy < 0.000) U[0,0] (y = 0.000))",0.17,0.04
22,"((Sgy = 0.000) U[0,0] (Temp > 0.000))","((Temp > 0.000) U[0,0] (y = 0.000))",0.25,0.04
23,"((n_evts > 0.000) U[0,0] (BLOOD_UREA_NITROGEN > 0.000))","((BLOOD_UREA_NITROGEN > 0.000) U[0,0] (n_evts > 0.000))",0.75,0.02
24,"((Glasgow_Coma_Scale_Total > 0.000) U[0,0] (Mort < 0.000))","((Glasgow_Coma_Scale_Total > 0.000) U[0,0] (Mort > 0.000))",0.28,0.04
25,"((Temp > 0.000) U[0,0] (ALBUMIN > 0.000))","((ALBUMIN > 0.000) U[0,0] (y = 0.000))",0.25,0.06
26,"((Mort > 0.000) U[0,0] (direct = 0.000))","((direct < 0.000) U[0,0] (n_evts > 0.000))",0.68,0.05
27,"((O2_Flow < 0.000) U[0,0] (n_evts = 0.000))","((n_evts < 0.000) U[0,0] (y > 0.000))",0.23,0.05
28,"((SBP < 0.000) U[0,0] (y < 0.000))","((SBP < 0.000) U[0,0] (y = 0.000))",0.53,0.03
29,"((ALT_GPT > 0.000) U[0,0] (Sgy = 0.000))","((Sgy < 0.000) U[0,0] (y = 0.000))",0.05,0.04
30,"((LOS = 0.000) U[0,0] (direct > 0.000))","((direct < 0.000) U[0,0] (LOS > 0.000))",0.62,0.01
31,"((ICU_Pt_Days < 0.000) U[0,0] (y = 0.000))","((ICU_Pt_Days < 0.000) U[0,0] (y = 0.000))",0.53,0.03
32,"((O2_Flow < 0.000) U[0,0] (n_evts < 0.000))","((n_evts < 0.000) U[0,0] (y > 0.000))",0.23,0.05
33,"((LOS < 0.000) U[0,0] (O2_Flow > 0.000))","((LOS < 0.000) U[0,0] (O2_Flow > 0.000))",0.5,0.02
34,"((Sgy > 0.000) U[0,0] (y = 0.000))","((Sgy > 0.000) U[0,0] (y = 0.000))",0.53,0.08
35,"((Glasgow_Coma_Scale_Total > 0.000) U[0,0] (ALBUMIN > 0.000))","((ALBUMIN > 0.000) U[0,0] (y = 0.000))",0.28,0.06
36,"((Sgy > 0.000) U[0,0] (Temp > 0.000))","((Sgy > 0.000) U[0,0] (y = 0.000))",0.25,0.08
37,"((Temp < 0.000) U[0,0] (Glasgow_Coma_Scale_Total > 0.000))","((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (Temp > 0.000))",0.28,0.02
