,LDP Rule,Client Rule,LDP Count,Client Count
0,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 | direct > 0.000))","F[0,0]((AF > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.333,0.03
1,"F[0,0]((y > 0.000 | n_evts > 0.000))","F[0,0]((n_evts > 0.000 | y > 0.000))",0.338,0.03
2,"F[0,0]((MET > 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((ICU_Pt_Days > 0.000 | WHITE_BLOOD_CELL_COUNT > 0.000))",0.231,0.01
3,"F[0,0]((direct > 0.000 | n_evts > 0.000))","F[0,0]((direct > 0.000 | n_evts > 0.000))",0.338,0.02
4,"F[0,0]((PARTIAL_THROMBOPLASTIN_TIME > 0.000 | ICU_Pt_Days < 0.000))","F[0,0]((ICU_Pt_Days < 0.000 | Mort > 0.000))",0.044,0.01
5,"F[0,0]((CALCIUM = 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((af > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.01
6,"F[0,0]((LOS > 0.000 | LOS < 0.000))","F[0,0]((LOS > 0.000 | tte < 0.000))",0.123,0.01
7,"F[0,0]((LOS = 0.000 | tte > 0.000))","F[0,0]((death > 0.000 | LOS < 0.000))",0.067,0.01
8,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 | n_evts > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | n_evts > 0.000))",0.338,0.01
9,"F[0,0]((O2_Flow < 0.000 | tte < 0.000))","F[0,0]((O2_Flow > 0.000 | tte < 0.000))",0.244,0.01
10,"F[0,0]((CALCIUM = 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((CALCIUM < 0.000 | HEMOGLOBIN < 0.000))",0.044,0.01
11,"F[0,0]((death > 0.000 | death > 0.000))","F[0,0]((death > 0.000 | Mort > 0.000))",0.231,0.03
12,"F[0,0]((O2_Flow > 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((BLOOD_UREA_NITROGEN < 0.000 | O2_Flow > 0.000))",0.185,0.01
13,"F[0,0]((Mort > 0.000 | MET > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.308,0.01
14,"F[0,0]((CALCIUM < 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((CALCIUM < 0.000 | HEMOGLOBIN < 0.000))",0.044,0.01
15,"F[0,0]((LOS = 0.000 | n_evts > 0.000))","F[0,0]((LOS < 0.000 | n_evts > 0.000))",0.338,0.01
16,"F[0,0]((CHLORIDE < 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((ICU_Pt_Days > 0.000 | n_edrk < 0.000))",0.231,0.01
17,"F[0,0]((ALKALINE_PHOSPHATASE > 0.000 | tte < 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | tte < 0.000))",0.244,0.01
18,"F[0,0]((direct > 0.000 | MET > 0.000))","F[0,0]((direct > 0.000 | MET > 0.000))",0.231,0.01
19,"F[0,0]((direct > 0.000 | LOS > 0.000))","F[0,0]((direct > 0.000 | y > 0.000))",0.231,0.02
20,"F[0,0]((Temp < 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((af > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.01
21,"F[0,0]((n_evts > 0.000 | y > 0.000))","F[0,0]((n_evts > 0.000 | y > 0.000))",0.338,0.03
22,"F[0,0]((ICU_Pt_Days < 0.000 | ICU_Pt_Days < 0.000))","F[0,0]((AF > 0.000 | ICU_Pt_Days < 0.000))",0.044,0.01
23,"F[0,0]((BLOOD_UREA_NITROGEN < 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((BLOOD_UREA_NITROGEN < 0.000 | O2_Flow > 0.000))",0.022,0.01
24,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | Pulse > 0.000))",0.123,0.01
25,"F[0,0]((Resp < 0.000 | MET > 0.000))","F[0,0]((MET > 0.000 | n_edrk < 0.000))",0.062,0.01
26,"F[0,0]((LOS < 0.000 | tte < 0.000))","F[0,0]((Mort > 0.000 | tte < 0.000))",0.244,0.02
27,"F[0,0]((GLUCOSE < 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((direct > 0.000 | GLUCOSE < 0.000))",0.044,0.02
28,"F[0,0]((ALKALINE_PHOSPHATASE > 0.000 | LOS < 0.000))","F[0,0]((death > 0.000 | LOS < 0.000))",0.067,0.01
29,"F[0,0]((O2_Flow = 0.000 | y > 0.000))","F[0,0]((hr > 0.000 | y > 0.000))",0.246,0.01
30,"F[0,0]((GLUCOSE < 0.000 | LOS < 0.000))","F[0,0]((direct > 0.000 | GLUCOSE < 0.000))",0.067,0.02
31,"F[0,0]((y > 0.000 | ICU_Pt_Days < 0.000))","F[0,0]((direct > 0.000 | y > 0.000))",0.246,0.02
32,"F[0,0]((ICU_Pt_Days > 0.000 | direct > 0.000))","F[0,0]((direct > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.02
33,"F[0,0]((GLUCOSE < 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((direct > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.02
34,"F[0,0]((CALCIUM < 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | tte < 0.000))",0.123,0.01
35,"F[0,0]((O2_Flow = 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((ALKALINE_PHOSPHATASE > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.022,0.01
36,"F[0,0]((CREATININE > 0.000 | death > 0.000))","F[0,0]((death > 0.000 | HEMOGLOBIN < 0.000))",0.231,0.01
37,"F[0,0]((Pulse > 0.000 | LOS < 0.000))","F[0,0]((LOS < 0.000 | Mort > 0.000))",0.067,0.01
38,"F[0,0]((Pulse > 0.000 | n_evts > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | n_evts > 0.000))",0.338,0.01
