,LDP Rule,Client Rule,LDP Count,Client Count
0,"((LOS > 0.000) U[0,0] (POTASSIUM = 0.000))","((LOS > 0.000) U[0,0] (y > 0.000))",0.46,0.05
1,"((s2_hr < 0.000) U[0,0] (death > 0.000))","((cosen < 0.000) U[0,0] (death > 0.000))",0.64,0.04
2,"F[0,0]((edrk > 0.000 & CALCIUM < 0.000))","F[0,0]((CALCIUM < 0.000 & y = 0.000))",0.101,0.01
3,"((ICU_Pt_Days > 0.000) U[0,0] (ICU_Pt_Days < 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (s24_edrk < 0.000))",0.66,0.04
4,"((ICU_Pt_Days = 0.000) U[0,0] (Sgy > 0.000))","((Sgy > 0.000) U[0,0] (y = 0.000))",0.28,0.08
5,"G[0,0]((GLUCOSE > 0.000 -> CO2 < 0.000))","G[0,0]((CO2 > 0.000 -> GLUCOSE < 0.000))",0.146,0.01
6,"((s2_hr < 0.000) U[0,0] (POTASSIUM = 0.000))","((POTASSIUM < 0.000) U[0,0] (y = 0.000))",0.12,0.04
7,"F[0,0]((edrk > 0.000 & BLOOD_UREA_NITROGEN > 0.000))","F[0,0]((BLOOD_UREA_NITROGEN > 0.000 & HEMOGLOBIN < 0.000))",0.101,0.02
8,"((ICU_Pt_Days < 0.000) U[0,0] (death > 0.000))","((death < 0.000) U[0,0] (ICU_Pt_Days > 0.000))",0.64,0.01
9,"((LOS = 0.000) U[0,0] (POTASSIUM = 0.000))","((LOS < 0.000) U[0,0] (y = 0.000))",0.35,0.06
10,"((LOS = 0.000) U[0,0] (n_evts < 0.000))","((LOS < 0.000) U[0,0] (y = 0.000))",0.35,0.06
11,"((LOS > 0.000) U[0,0] (ICU_Pt_Days > 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))",0.66,0.02
12,"((s2_hr < 0.000) U[0,0] (Sgy > 0.000))","((Sgy > 0.000) U[0,0] (y = 0.000))",0.08,0.08
13,"G[0,0]((ALKALINE_PHOSPHATASE = 0.000 | lds < 0.000))","G[0,0]((lds < 0.000 | n_edrk > 0.000))",0.182,0.02
14,"((ICU_Pt_Days > 0.000) U[0,0] (tte > 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (tte > 0.000))",0.66,0.01
15,"((ICU_Pt_Days = 0.000) U[0,0] (death > 0.000))","((death < 0.000) U[0,0] (ICU_Pt_Days > 0.000))",0.64,0.01
16,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts = 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (n_evts < 0.000))",0.66,0.02
17,"G[0,0]((y < 0.000 & TOTAL_BILIRUBIN < 0.000))","G[0,0]((AF < 0.000 & y < 0.000))",0.351,0.01
18,"G[0,0]((WHITE_BLOOD_CELL_COUNT > 0.000 & TOTAL_BILIRUBIN < 0.000))","G[0,0]((O2_Flow < 0.000 & WHITE_BLOOD_CELL_COUNT > 0.000))",0.084,0.01
19,"((ICU_Pt_Days < 0.000) U[0,0] (ALBUMIN > 0.000))","((ALBUMIN > 0.000) U[0,0] (y = 0.000))",0.28,0.06
