Client,Num Queries
1,535
2,606
3,515
4,480
5,605
6,356
7,535
9,562
10,334
11,458
12,575
13,473
14,405
15,562
16,393
17,559
18,550
19,559
20,505
21,656
22,586
23,656
24,336
25,605
26,605
27,578
28,516
29,290
30,582
31,589
32,605
33,538
34,562
35,311
36,547
37,632
38,629
39,486
40,589
41,543
42,626
43,589
44,535
45,579
46,479
47,538
48,531
49,538
50,605
51,427
52,484
53,582
54,535
55,510
56,318
57,544
58,532
59,542
60,443
61,291
62,578
63,562
64,432
65,487
66,461
67,517
68,571
69,535
70,632
71,581
72,582
73,252
74,414
75,338
76,492
77,555
78,535
79,629
80,605
82,484
83,462
84,558
85,538
86,470
87,403
88,519
89,556
90,559
91,415
92,633
93,605
94,586
95,571
96,449
97,546
98,605
99,629
100,586
101,632
102,483
103,491
104,602
105,629
106,562
107,391
108,605
109,559
110,477
111,535
112,559
113,492
114,586
115,629
116,320
117,511
118,565
119,534
120,537
121,581
122,605
123,578
124,319
125,579
126,110
127,457
128,402
129,537
130,417
131,312
132,458
133,456
134,338
135,538
136,329
137,576
138,605
139,605
140,656
141,535
142,606
143,508
144,605
145,629
146,538
147,579
148,602
149,347
150,559
151,456
152,605
153,520
154,599
155,416
156,559
157,580
158,629
159,538
160,581
161,484
162,562
163,605
164,562
165,392
166,629
167,578
168,578
169,490
170,535
171,485
172,543
173,475
174,562
175,581
176,446
177,508
178,554
179,579
180,476
181,535
182,562
183,562
184,535
185,331
186,633
187,511
188,329
189,605
190,559
191,545
192,581
193,494
194,562
195,629
196,553
197,517
198,452
199,538
200,586
201,562
202,538
203,656
204,554
205,602
206,281
207,501
208,605
209,485
210,606
211,520
212,450
213,560
214,575
215,458
216,535
217,579
218,608
219,468
220,466
221,629
222,609
223,562
224,548
225,562
226,361
227,522
228,448
229,386
231,287
232,586
233,449
234,562
235,387
236,511
237,562
238,554
239,586
240,656
241,511
242,585
243,572
244,535
245,204
246,586
247,578
248,656
249,535
250,602
251,578
253,332
254,557
255,389
256,547
257,562
258,488
259,446
260,539
261,453
262,511
263,315
264,633
265,482
266,629
267,535
268,562
269,301
270,528
271,539
272,448
273,605
274,539
275,538
276,629
277,629
278,565
279,538
280,602
281,420
282,511
284,605
285,571
286,579
287,454
288,613
289,447
290,501
291,449
292,606
293,602
294,511
295,458
296,511
297,605
298,554
299,578
300,538
301,562
302,562
303,582
304,481
305,224
306,546
307,586
308,434
309,416
310,559
311,366
312,371
313,456
314,589
315,486
316,605
317,485
318,535
319,465
320,562
321,586
322,562
323,538
324,511
325,538
326,539
327,633
328,383
329,552
330,605
331,562
332,629
333,532
334,562
336,552
338,632
339,605
340,586
341,407
343,538
344,304
345,562
346,528
347,605
348,283
349,488
350,562
351,361
352,538
353,511
354,629
355,632
356,538
357,589
358,433
359,576
360,562
361,559
362,528
363,460
364,312
365,609
367,605
368,385
369,554
370,532
371,602
372,538
373,229
374,535
375,581
376,446
377,535
378,420
379,613
380,535
381,578
382,555
383,554
384,578
385,576
386,562
387,632
388,572
389,524
390,565
391,605
392,562
393,386
394,356
395,562
396,535
397,536
