,Rule,Percent Count
0,"G[1,1]((LOS < 96.183 | LOS < 109.902))",0.32954545454545453
1,"F[1,1]((LOS < 99.599 -> LOS > 101.944))",0.15053763440860216
2,"G[1,1]((LOS = 95.514 | LOS < 100.401))",0.32954545454545453
3,"G[1,1]((LOS > 56.877 -> LOS < 92.755))",0.6483516483516484
4,"F[1,1]((LOS = 107.886 & LOS = 98.972))",0.14583333333333334
5,"G[1,1]((LOS = 95.516 -> LOS < 105.890))",0.22916666666666666
6,"G[1,1]((LOS > 83.177 & LOS < 103.135))",0.26595744680851063
7,"F[1,1]((LOS < 99.350 -> LOS = 106.366))",0.15053763440860216
8,"F[1,1]((LOS > 90.637 & LOS = 97.326))",0.1919191919191919
9,"F[1,1]((LOS > 109.111 | LOS > 96.673))",0.12307692307692308
